Sort	Isolate Sort	Realm	Subrealm	Kingdom	Subkingdom	Phylum	Subphylum	Class	Subclass	Order	Suborder	Family	Subfamily	Genus	Subgenus	Species	Exemplar or additional isolate	Virus name(s)	Virus name abbreviation(s)	Virus isolate designation	Virus GENBANK accession	Virus REFSEQ accession	Genome coverage	Genome composition	Host source	virus tax id	virus name	virus lineage	refseq id	KEGG GENOME	KEGG DISEASE	DISEASE	host tax id	host name	host lineage	pmid	evidence	sample type	source organism
4725	1	Monodnaviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Zurhausenvirales		Papillomaviridae	Firstpapillomavirinae	Gammapapillomavirus		Gammapapillomavirus 24	E	human papillomavirus 178	HPV178		KJ130020	NC_023891	Complete genome	dsDNA	vertebrates	1478160.0	Human papillomavirus 178	Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Gammapapillomavirus; Gammapapillomavirus 24	NC_023891				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo		RefSeq		
4727	1	Monodnaviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Zurhausenvirales		Papillomaviridae	Firstpapillomavirinae	Gammapapillomavirus		Gammapapillomavirus 25	E	human papillomavirus 184	HPV184	SIBX17	HG530535	NC_038914	Complete genome	dsDNA	vertebrates	1472343.0	Human papillomavirus 184	Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Gammapapillomavirus; Gammapapillomavirus 25	NC_038914				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo		RefSeq		
4728	1	Monodnaviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Zurhausenvirales		Papillomaviridae	Firstpapillomavirinae	Gammapapillomavirus		Gammapapillomavirus 26	E	human papillomavirus 187	HPV187	ACS447	KR816174	NC_039086	Complete genome	dsDNA	vertebrates	1851130.0	Human papillomavirus 187	Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Gammapapillomavirus; Gammapapillomavirus 26	NC_039086				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo		RefSeq		
4729	1	Monodnaviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Zurhausenvirales		Papillomaviridae	Firstpapillomavirinae	Gammapapillomavirus		Gammapapillomavirus 27	E	human papillomavirus 201	HPV201		KP692115	NC_027528	Complete genome	dsDNA	vertebrates	1682340.0	Human papillomavirus 201	Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Gammapapillomavirus; Gammapapillomavirus 27	NC_027528				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo		RefSeq		
4730	1	Monodnaviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Zurhausenvirales		Papillomaviridae	Firstpapillomavirinae	Gammapapillomavirus		Gammapapillomavirus 3	E	human papillomavirus 50	HPV50		U31790	NC_001691	Complete genome	dsDNA	vertebrates	40539.0	Human papillomavirus type 50	Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Gammapapillomavirus; Gammapapillomavirus 3	NC_001691				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo		UniProt		
4731	1	Monodnaviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Zurhausenvirales		Papillomaviridae	Firstpapillomavirinae	Gammapapillomavirus		Gammapapillomavirus 4	E	human papillomavirus 60	HPV60		U31792	NC_001693	Complete genome	dsDNA	vertebrates	40540.0	Human papillomavirus type 60	Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Gammapapillomavirus; Gammapapillomavirus 4	NC_001693	T40114	H00374	Viral wart	9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo		UniProt		
4732	1	Monodnaviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Zurhausenvirales		Papillomaviridae	Firstpapillomavirinae	Gammapapillomavirus		Gammapapillomavirus 5	E	human papillomavirus 88	HPV88		EF467176	NC_010329	Complete genome	dsDNA	vertebrates	337054.0	Human papillomavirus type 88	Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Gammapapillomavirus; Gammapapillomavirus 5	NC_010329	T40113	H00374	Viral wart	9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo	17935140	Literature		
4733	1	Monodnaviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Zurhausenvirales		Papillomaviridae	Firstpapillomavirinae	Gammapapillomavirus		Gammapapillomavirus 6	E	human papillomavirus 101	HPV101	Qv23954	DQ080081	NC_008189	Complete genome	dsDNA	vertebrates	915425.0	human papillomavirus 101	Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Gammapapillomavirus; Gammapapillomavirus 6	NC_008189				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo	17125811	Literature		
4734	2	Monodnaviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Zurhausenvirales		Papillomaviridae	Firstpapillomavirinae	Gammapapillomavirus		Gammapapillomavirus 6	A	human papillomavirus 103	HPV103	QV33725	DQ080078	NC_008188	Complete genome	dsDNA	vertebrates	338323.0	human papillomavirus 103	Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Gammapapillomavirus; Gammapapillomavirus 6	NC_008188				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo	17125811	Literature		
4735	3	Monodnaviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Zurhausenvirales		Papillomaviridae	Firstpapillomavirinae	Gammapapillomavirus		Gammapapillomavirus 6	A	human papillomavirus 108	HPV108		FM212639	NC_012213	Complete genome	dsDNA	vertebrates	565537.0	human papillomavirus 108	Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Gammapapillomavirus; Gammapapillomavirus 6	NC_012213				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo	19153227	Literature		
4736	1	Monodnaviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Zurhausenvirales		Papillomaviridae	Firstpapillomavirinae	Gammapapillomavirus		Gammapapillomavirus 7	E	human papillomavirus 109	HPV109		EU541441	NC_012485	Complete genome	dsDNA	vertebrates	915426.0	Human papillomavirus 109	Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Gammapapillomavirus; Gammapapillomavirus 7	NC_012485				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo	19969321	Literature		
4739	4	Monodnaviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Zurhausenvirales		Papillomaviridae	Firstpapillomavirinae	Gammapapillomavirus		Gammapapillomavirus 7	A	human papillomavirus 134	HPV134	39-65	GU117634	NC_014956	Complete genome	dsDNA	vertebrates	909333.0	Human papillomavirus 134	Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Gammapapillomavirus; Gammapapillomavirus 7	NC_014956				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo		RefSeq		
4744	1	Monodnaviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Zurhausenvirales		Papillomaviridae	Firstpapillomavirinae	Gammapapillomavirus		Gammapapillomavirus 8	E	human papillomavirus 112	HPV112		EU541442	NC_012486	Complete genome	dsDNA	vertebrates	915427.0	human papillomavirus 112	Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Gammapapillomavirus; Gammapapillomavirus 8	NC_012486				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo	19969321	Literature		
4749	1	Monodnaviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Zurhausenvirales		Papillomaviridae	Firstpapillomavirinae	Gammapapillomavirus		Gammapapillomavirus 9	E	human papillomavirus 116	HPV116		FJ804072	NC_013035	Complete genome	dsDNA	vertebrates	915428.0	Human papillomavirus 116	Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Gammapapillomavirus; Gammapapillomavirus 9	NC_013035				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo		RefSeq		
4750	2	Monodnaviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Zurhausenvirales		Papillomaviridae	Firstpapillomavirinae	Gammapapillomavirus		Gammapapillomavirus 9	A	human papillomavirus 129	HPV129		GU233853	NC_014953	Complete genome	dsDNA	vertebrates	931210.0	human papillomavirus 129	Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Gammapapillomavirus; Gammapapillomavirus 9	NC_014953				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo		RefSeq		
4767	1	Monodnaviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Zurhausenvirales		Papillomaviridae	Firstpapillomavirinae	Mupapillomavirus		Mupapillomavirus 1	E	human papillomavirus 1	HPV1		V01116	NC_001356	Complete genome	dsDNA	vertebrates	334203.0	Mupapillomavirus 1	Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Mupapillomavirus	NC_001356	T40108	H00374	Viral wart	9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo		UniProt		
4768	1	Monodnaviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Zurhausenvirales		Papillomaviridae	Firstpapillomavirinae	Mupapillomavirus		Mupapillomavirus 2	E	human papillomavirus 63	HPV63		X70828	NC_001458	Complete genome	dsDNA	vertebrates	28311.0	Human papillomavirus type 63	Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Mupapillomavirus; Mupapillomavirus 2	NC_001458	T40115	H00374	Viral wart	9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo		UniProt		
4769	1	Monodnaviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Zurhausenvirales		Papillomaviridae	Firstpapillomavirinae	Mupapillomavirus		Mupapillomavirus 3	E	human papillomavirus 204	HPV204	A342	KP769769	NC_038525	Complete genome	dsDNA	vertebrates	1650736.0	Human papillomavirus 204	Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Mupapillomavirus; Mupapillomavirus 3	NC_038525				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo		RefSeq		
4770	1	Monodnaviria		Shotokuvirae		Cossaviricota		Papovaviricetes		Zurhausenvirales		Papillomaviridae	Firstpapillomavirinae	Nupapillomavirus		Nupapillomavirus 1	E	human papillomavirus 41	HPV41		X56147	NC_001354	Complete genome	dsDNA	vertebrates	10589.0	Human papillomavirus type 41	Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Papovaviricetes; Zurhausenvirales; Papillomaviridae; Firstpapillomavirinae; Nupapillomavirus; Nupapillomavirus 1	NC_001354				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo		UniProt		
4933	1	Monodnaviria		Shotokuvirae		Cossaviricota		Quintoviricetes		Piccovirales		Parvoviridae	Parvovirinae	Bocaparvovirus		Bocaparvovirus primate2	E	human bocavirus 2c	HBoV2c	PK5510	FJ170278	NC_012042	Coding-complete genome	ssDNA	vertebrates	1511882.0	Human bocavirus 2c PK	Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Quintoviricetes; Piccovirales; Parvoviridae; Parvovirinae; Bocaparvovirus; Bocaparvovirus primate2	NC_012042				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo		RefSeq, UniProt		
4962	1	Monodnaviria		Shotokuvirae		Cossaviricota		Quintoviricetes		Piccovirales		Parvoviridae	Parvovirinae	Dependoparvovirus		Dependoparvovirus mammalian1	E	adeno-associated virus 5	AAV5		AF085716	NC_006152	Complete genome	ssDNA	vertebrates	82300.0	adeno-associated virus 5	Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Quintoviricetes; Piccovirales; Parvoviridae; Parvovirinae; Dependoparvovirus; Dependoparvovirus mammalian1	NC_006152				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo	9882336	Literature		
4964	1	Monodnaviria		Shotokuvirae		Cossaviricota		Quintoviricetes		Piccovirales		Parvoviridae	Parvovirinae	Dependoparvovirus		Dependoparvovirus primate1	E	adeno-associated virus 2	AAV2		AF043303	NC_001401	Complete genome	ssDNA	vertebrates	10804.0	adeno-associated virus 2	Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Quintoviricetes; Piccovirales; Parvoviridae; Parvovirinae; Dependoparvovirus; Dependoparvovirus primate1	NC_001401				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo	25127256	Literature		
4970	1	Monodnaviria		Shotokuvirae		Cossaviricota		Quintoviricetes		Piccovirales		Parvoviridae	Parvovirinae	Erythroparvovirus		Erythroparvovirus primate1	E	human parvovirus B19	B19V	J35 G1	AY386330	NC_000883	Complete genome	ssDNA	vertebrates	10798.0	Human parvovirus B19	Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Quintoviricetes; Piccovirales; Parvoviridae; Parvovirinae; Erythroparvovirus; Erythroparvovirus primate1	NC_000883	T40084	H00404	Erythema infectiosum; Fifth disease	9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo		UniProt		
4986	1	Monodnaviria		Shotokuvirae		Cossaviricota		Quintoviricetes		Piccovirales		Parvoviridae	Parvovirinae	Protoparvovirus		Protoparvovirus primate1	E	bufavirus 1a (human)	BuV1a	human BF86	JX027296	NC_038544	Coding-complete genome	ssDNA	vertebrates	3052714.0	Protoparvovirus primate1	Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Quintoviricetes; Piccovirales; Parvoviridae; Parvovirinae; Protoparvovirus	NC_038544				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo	22855485	Literature		
4988	1	Monodnaviria		Shotokuvirae		Cossaviricota		Quintoviricetes		Piccovirales		Parvoviridae	Parvovirinae	Protoparvovirus		Protoparvovirus primate3	E	cutavirus (human)	CutaV	human BR-337	KT868811	NC_039050	Coding-complete genome	ssDNA	vertebrates	1867125.0	Cutavirus	Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Quintoviricetes; Piccovirales; Parvoviridae; Parvovirinae; Protoparvovirus; Protoparvovirus primate3	NC_039050				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo	27393975	Literature, RefSeq		
4998	1	Monodnaviria		Shotokuvirae		Cossaviricota		Quintoviricetes		Piccovirales		Parvoviridae	Parvovirinae	Tetraparvovirus		Tetraparvovirus primate1	E	human parvovirus 4	PARV4	G1	AY622943	NC_007018	Coding-complete genome	ssDNA	vertebrates	1511919.0	Human parvovirus 4 G1	Viruses; Monodnaviria; Shotokuvirae; Cossaviricota; Quintoviricetes; Piccovirales; Parvoviridae; Parvovirinae; Tetraparvovirus; Tetraparvovirus primate1	NC_007018				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo		RefSeq		
5040	1	Monodnaviria		Shotokuvirae		Cressdnaviricota		Arfiviricetes		Cirlivirales		Circoviridae		Circovirus		Circovirus eniyan	E	human faeces associated circovirus	HuACV1	NG13	GQ404856	NC_038392	Complete genome	ssDNA	vertebrates	743300.0	Human stool-associated circular virus NG13	Viruses; Monodnaviria; Shotokuvirae; Cressdnaviricota; Arfiviricetes; Cirlivirales; Circoviridae; Circovirus; Circovirus eniyan	NC_038392				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo		RefSeq		
5092	1	Monodnaviria		Shotokuvirae		Cressdnaviricota		Arfiviricetes		Cirlivirales		Circoviridae		Cyclovirus		Cyclovirus bashri	E	human associated cyclovirus 4	HuACyV4	TN25	GQ404857	NC_038414	Complete genome	ssDNA	vertebrates	742924.0	Cyclovirus TN25	Viruses; Monodnaviria; Shotokuvirae; Cressdnaviricota; Arfiviricetes; Cirlivirales; Circoviridae; Cyclovirus; Cyclovirus bashri; Human associated cyclovirus 4	NC_038414				9606.0	Homo sapiens	Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo	20007276	Literature, RefSeq		
