query	qlen
ORF077_late_transcription_factor_VLTF-3__NP_957854__Orf_virus__10258	224
ORF078_thioredoxin-like_protein__NP_957855__Orf_virus__10258	83
ORF079_virion_core_protein_P4b_precursor__NP_957856__Orf_virus__10258	675
ORF080_virion_core_protein__NP_957857__Orf_virus__10258	328
ORF081_RNA_polymerase_subunit_RPO19__NP_957858__Orf_virus__10258	173
ORF082_hypothetical_protein__NP_957859__Orf_virus__10258	378
ORF083_early_transcription_factor_VETFL__NP_957860__Orf_virus__10258	841
ORF084_intermediate_transcription_factor_VITF-3__NP_957861__Orf_virus__10258	303
ORF085_late_virion_membrane_protein__NP_957862__Orf_virus__10258	93
ORF086_virion_core_protein_P4a_precursor__NP_957863__Orf_virus__10258	905
ORF087_hypothetical_protein__NP_957864__Orf_virus__10258	336
ORF088_virion_core_protein__NP_957865__Orf_virus__10258	260
ORF089_virion_membrane_protein__NP_957866__Orf_virus__10258	92
ORF090_putative_IMV_phosphorylated_membrane_protein__NP_957867__Orf_virus__10258	91
ORF091_putative_IMV_membrane_protein__NP_957868__Orf_virus__10258	53
ORF092_hypothetical_protein__NP_957869__Orf_virus__10258	89
ORF093_predicted_myristylated_protein__NP_957870__Orf_virus__10258	358
ORF094_putative_phosphorylated_IMV_membrane_protein__NP_957871__Orf_virus__10258	196
ORF095_DNA_helicase__NP_957872__Orf_virus__10258	488
ORF096_hypothetical_protein__NP_957873__Orf_virus__10258	90
ORF097_DNA_polymerase_processivity_factor__NP_957875__Orf_virus__10258	429
ORF098_hypothetical_protein__NP_957874__Orf_virus__10258	108
ORF099_Holliday_junction_resolvase__NP_957876__Orf_virus__10258	146
ORF100_intermediate_transcription_factor_VITF-3__NP_957877__Orf_virus__10258	380
ORF101_RNA_polymerase_subunit_RPO132__NP_957878__Orf_virus__10258	1161
ORF102_A_type_inclusion_protein__NP_957879__Orf_virus__10258	520
ORF103_A_type_inclusion_protein__NP_957880__Orf_virus__10258	516
ORF104_fusion_protein__NP_957881__Orf_virus__10258	90
ORF105_hypothetical_protein__NP_957882__Orf_virus__10258	140
ORF106_RNA_polymerase_subunit_RPO35__NP_957883__Orf_virus__10258	314
ORF107_virion_morphogenesis__NP_957884__Orf_virus__10258	60
ORF108_DNA_packaging_protein_ATPase__NP_957885__Orf_virus__10258	274
ORF109_EEV_glycoprotein__NP_957886__Orf_virus__10258	164
ORF10__YP_001129356__Human_gammaherpesvirus_8__37296	418
ORF10_protein__YP_009725255__Severe_acute_respiratory_syndrome_coronavirus_2__2697049	38
ORF110_EEV_glycoprotein__NP_957887__Orf_virus__10258	167
ORF111_hypothetical_protein__NP_957888__Orf_virus__10258	179
ORF112_putative_chemokine-binding_protein__NP_957889__Orf_virus__10258	288
ORF113_hypothetical_protein__NP_957890__Orf_virus__10258	200
ORF114_hypothetical_protein__NP_957891__Orf_virus__10258	344
ORF115_hypothetical_protein__NP_957892__Orf_virus__10258	149
ORF116_hypothetical_protein__NP_957893__Orf_virus__10258	206
ORF117_GM-CSF_IL-2_inhibition_factor-like_protein__NP_957894__Orf_virus__10258	265
ORF118_hypothetical_protein__NP_957895__Orf_virus__10258	102
ORF119_hypothetical_protein__NP_957896__Orf_virus__10258	206
ORF11__YP_001129357__Human_gammaherpesvirus_8__37296	407
ORF120_hypothetical_protein__NP_957897__Orf_virus__10258	194
ORF121_hypothetical_protein__NP_957898__Orf_virus__10258	302
ORF122_hypothetical_protein__NP_957899__Orf_virus__10258	323
ORF123_ankyrin_repeat_protein__NP_957900__Orf_virus__10258	525
ORF124_hypothetical_protein__NP_957901__Orf_virus__10258	532
ORF125_hypothetical_protein__NP_957902__Orf_virus__10258	173
ORF126_ankyrin_repeat_protein__NP_957903__Orf_virus__10258	497
ORF127_IL-10-like_protein__NP_957904__Orf_virus__10258	184
ORF128_ankyrin_repeat_protein__NP_957905__Orf_virus__10258	501
ORF129_ankyrin_repeat_protein__NP_957906__Orf_virus__10258	516
ORF130_putative_serine_threonine_protein_kinase__NP_957907__Orf_virus__10258	498
ORF131_putative_membrane_protein__NP_957908__Orf_virus__10258	226
ORF132_vascular_endothelial_growth_factor-like_protein__NP_957909__Orf_virus__10258	149
ORF134_hypothetical_protein__NP_957910__Orf_virus__10258	149
ORF16__YP_001129368__Human_gammaherpesvirus_8__37296	175
ORF17.5__YP_001129370__Human_gammaherpesvirus_8__37296	288
ORF17__YP_001129369__Human_gammaherpesvirus_8__37296	534
ORF18__YP_001129371__Human_gammaherpesvirus_8__37296	257
ORF19__YP_001129372__Human_gammaherpesvirus_8__37296	549
ORF1__YP_003587826__Torque_teno_mini_virus_8__687376	675
ORF1__YP_009256215__Torque_teno_mini_virus_18__1859149	646
ORF1__YP_009505734__Torque_teno_mini_virus_10__2065036	650
ORF1__YP_009505738__Torque_teno_mini_virus_11__2065037	662
ORF1__YP_009505741__Torque_teno_mini_virus_12__2065038	661
ORF1__YP_009505751__Torque_teno_midi_virus_3__2065044	533
ORF1__YP_009505753__Torque_teno_midi_virus_4__2065045	658
ORF1__YP_238294__Small_anellovirus_1__289366	123
ORF1__YP_238482__Human_parvovirus_4_G1__1511919	663
ORF1a__YP_006905852__Astrovirus_MLB3__1247114	787
ORF1a__YP_006905855__Astrovirus_VA4__1247113	886
ORF1a__YP_006905858__Astrovirus_VA3__683174	889
ORF1a__YP_009047079__Human_astrovirus_BF34__1518575	888
ORF1b,_partial__YP_006905853__Astrovirus_MLB3__1247114	511
ORF1b,_partial__YP_006905856__Astrovirus_VA4__1247113	526
ORF1b,_partial__YP_006905859__Astrovirus_VA3__683174	553
ORF20__YP_001129373__Human_gammaherpesvirus_8__37296	257
ORF21__YP_001129374__Human_gammaherpesvirus_8__37296	580
ORF22__YP_001129375__Human_gammaherpesvirus_8__37296	730
ORF23__YP_001129376__Human_gammaherpesvirus_8__37296	404
ORF24__YP_001129377__Human_gammaherpesvirus_8__37296	752
ORF26__YP_001129379__Human_gammaherpesvirus_8__37296	305
ORF27__YP_001129380__Human_gammaherpesvirus_8__37296	290
ORF28__YP_001129381__Human_gammaherpesvirus_8__37296	102
ORF29__YP_001129382__Human_gammaherpesvirus_8__37296	687
ORF2__YP_001129359__Human_gammaherpesvirus_8__37296	210
ORF2__YP_003587825__Torque_teno_mini_virus_8__687376	99
ORF2__YP_009047080__Human_astrovirus_BF34__1518575	801
ORF2__YP_009256214__Torque_teno_mini_virus_18__1859149	88
ORF2__YP_009505713__Torque_teno_virus_9__687348	160
ORF2__YP_009505733__Torque_teno_mini_virus_10__2065036	107
ORF2__YP_009505737__Torque_teno_mini_virus_11__2065037	103
ORF2__YP_009505740__Torque_teno_mini_virus_12__2065038	99
ORF2__YP_009505750__Torque_teno_midi_virus_3__2065044	116
ORF2__YP_009505752__Torque_teno_midi_virus_4__2065045	116
ORF2__YP_238295__Small_anellovirus_1__289366	626
ORF2__YP_238483__Human_parvovirus_4_G1__1511919	914
ORF2_protein__YP_164338__Sapovirus_C12__290314	166
ORF30__YP_001129383__Human_gammaherpesvirus_8__37296	77
ORF31__YP_001129384__Human_gammaherpesvirus_8__37296	194
ORF32__YP_001129385__Human_gammaherpesvirus_8__37296	454
ORF33__YP_001129386__Human_gammaherpesvirus_8__37296	334
ORF34__YP_001129387__Human_gammaherpesvirus_8__37296	327
ORF35__YP_001129388__Human_gammaherpesvirus_8__37296	150
ORF36__YP_001129389__Human_gammaherpesvirus_8__37296	444
ORF37__YP_001129390__Human_gammaherpesvirus_8__37296	486
ORF38__YP_001129391__Human_gammaherpesvirus_8__37296	61
ORF39__YP_001129392__Human_gammaherpesvirus_8__37296	400
ORF3__YP_009256216__Torque_teno_mini_virus_18__1859149	90
ORF3__YP_009505735__Torque_teno_mini_virus_10__2065036	114
ORF3__YP_009505739__Torque_teno_mini_virus_11__2065037	189
ORF3__YP_009505742__Torque_teno_mini_virus_12__2065038	117
ORF3__YP_009505754__Torque_teno_midi_virus_4__2065045	178
ORF3__YP_010087239__Human_lung-associated_vientovirus_FB__2571082	200
ORF3__YP_238296__Small_anellovirus_1__289366	81
ORF3a_protein__YP_009724391__Severe_acute_respiratory_syndrome_coronavirus_2__2697049	275
ORF3a_protein__YP_009825052__SARS_coronavirus_Tor2__227984	274
ORF3b_protein__YP_009825053__SARS_coronavirus_Tor2__227984	154
ORF40__YP_001129393__Human_gammaherpesvirus_8__37296	669
ORF42__YP_001129394__Human_gammaherpesvirus_8__37296	278
ORF43__YP_001129395__Human_gammaherpesvirus_8__37296	605
ORF44__YP_001129396__Human_gammaherpesvirus_8__37296	788
ORF45__YP_001129397__Human_gammaherpesvirus_8__37296	407
ORF46__YP_001129398__Human_gammaherpesvirus_8__37296	255
ORF47__YP_001129399__Human_gammaherpesvirus_8__37296	167
ORF48__YP_001129400__Human_gammaherpesvirus_8__37296	402
ORF49__YP_001129402__Human_gammaherpesvirus_8__37296	302
ORF4__YP_001129351__Human_gammaherpesvirus_8__37296	550
ORF4__YP_009505736__Torque_teno_mini_virus_10__2065036	117
ORF4__YP_009505743__Torque_teno_mini_virus_12__2065038	64
ORF50__YP_001129401__Human_gammaherpesvirus_8__37296	691
ORF52__YP_001129405__Human_gammaherpesvirus_8__37296	131
ORF53__YP_001129406__Human_gammaherpesvirus_8__37296	110
ORF54__YP_001129407__Human_gammaherpesvirus_8__37296	295
ORF55__YP_001129408__Human_gammaherpesvirus_8__37296	227
ORF56__YP_001129409__Human_gammaherpesvirus_8__37296	843
ORF57__YP_001129410__Human_gammaherpesvirus_8__37296	455
ORF58__YP_001129415__Human_gammaherpesvirus_8__37296	357
ORF59__YP_001129416__Human_gammaherpesvirus_8__37296	396
ORF60__YP_001129417__Human_gammaherpesvirus_8__37296	305
ORF61__YP_001129418__Human_gammaherpesvirus_8__37296	792
ORF62__YP_001129419__Human_gammaherpesvirus_8__37296	331
ORF63__YP_001129420__Human_gammaherpesvirus_8__37296	928
ORF65__YP_001129422__Human_gammaherpesvirus_8__37296	170
ORF66__YP_001129423__Human_gammaherpesvirus_8__37296	429
ORF67A__YP_001129425__Human_gammaherpesvirus_8__37296	80
ORF67__YP_001129424__Human_gammaherpesvirus_8__37296	271
ORF68__YP_001129426__Human_gammaherpesvirus_8__37296	467
ORF69__YP_001129427__Human_gammaherpesvirus_8__37296	302
ORF6_protein__YP_009724394__Severe_acute_respiratory_syndrome_coronavirus_2__2697049	61
ORF6_protein__YP_009825056__SARS_coronavirus_Tor2__227984	63
ORF70__YP_001129361__Human_gammaherpesvirus_8__37296	337
ORF71__YP_001129429__Human_gammaherpesvirus_8__37296	188
ORF72__YP_001129430__Human_gammaherpesvirus_8__37296	257
ORF74__YP_001129433__Human_gammaherpesvirus_8__37296	342
ORF75__YP_001129434__Human_gammaherpesvirus_8__37296	1296
ORF7__YP_001129353__Human_gammaherpesvirus_8__37296	695
ORF7a_protein__YP_009724395__Severe_acute_respiratory_syndrome_coronavirus_2__2697049	121
ORF7a_protein__YP_009825057__SARS_coronavirus_Tor2__227984	122
ORF8_protein__YP_009724396__Severe_acute_respiratory_syndrome_coronavirus_2__2697049	121
ORF8a_protein__YP_009825059__SARS_coronavirus_Tor2__227984	39
ORF8b__YP_009944280__Betacoronavirus_England_1__1263720	112
ORF8b_protein__YP_009047212__Middle_East_respiratory_syndrome-related_coronavirus__1335626	112
ORF8b_protein__YP_009825060__SARS_coronavirus_Tor2__227984	84
ORF9__YP_001129355__Human_gammaherpesvirus_8__37296	1012
ORF9a_protein__YP_009825063__SARS_coronavirus_Tor2__227984	70
ORF9b_protein__YP_009825062__SARS_coronavirus_Tor2__227984	98
ORF_putative__AAA92985__Southampton_virus__11984	211
Orthopoxvirus_A26L_A30L_protein__YP_010377134__Monkeypox_virus__10244	509
P-3A_polypeptide__NP_740398__Rhinovirus_A__147711	76
P2-A_polypeptide__NP_740395__Rhinovirus_A__147711	136
P2-B_polypeptide__NP_740396__Rhinovirus_A__147711	95
P2-C_polypeptide__NP_740397__Rhinovirus_A__147711	321
P4a_precursor__YP_009408509__NY_014_poxvirus__2025360	904
P4a_precursor__YP_010085587__Akhmeta_virus__2200830	892
P4b_precursor__YP_010085580__Akhmeta_virus__2200830	644
PA-X_protein__YP_006495785__Influenza_A_virus_-A_Puerto_Rico_8_1934-H1N1--__211044	252
PA-X_protein__YP_006495800__Influenza_A_virus_-A_goose_Guangdong_1_1996-H5N1--__93838	252
PA-X_protein__YP_006495803__Influenza_A_virus_-A_Korea_426_1968-H2N2--__488241	252
PA-X_protein__YP_006575868__Influenza_A_virus_-A_New_York_392_2004-H3N2--__335341	252
PA-X_protein__YP_009118474__Influenza_A_virus_-A_Shanghai_02_2013-H7N9--__1332244	252
PA-X_protein__YP_009121769__Influenza_A_virus_-A_California_07_2009-H1N1--__641809	231
PB1-F2_protein__YP_009118472__Influenza_A_virus_-A_Shanghai_02_2013-H7N9--__1332244	90
PB1-F2_protein__YP_308848__Influenza_A_virus_-A_New_York_392_2004-H3N2--__335341	90
PB1-F2_protein__YP_308877__Influenza_A_virus_-A_Korea_426_1968-H2N2--__488241	90
PB1-F2_protein__YP_418248__Influenza_A_virus_-A_Puerto_Rico_8_1934-H1N1--__211044	87
PB1-F2_protein__YP_473348__Influenza_A_virus_-A_goose_Guangdong_1_1996-H5N1--__93838	90
PB1_polymerase_subunit__YP_308851__Influenza_A_virus_-A_Korea_426_1968-H2N2--__488241	757
PE2_protein__YP_913809__Eastern_equine_encephalitis_virus__11021	483
POZ_BTB_kelch_domain_protein__YP_009408408__NY_014_poxvirus__2025360	516
P_protein__YP_009505513__Ekpoma_virus_2__1987021	217
Palmytilated_EEV_membrane_protein__YP_010377040__Monkeypox_virus__10244	372
Parvovirus_rep_homolog__NP_050269__Human_betaherpesvirus_6B__32604	490
Phospholipase-D-like_protein__YP_010377025__Monkeypox_virus__10244	424
Phosphotransferase__NP_050248__Human_betaherpesvirus_6B__32604	563
Pol__NP_789740__Human_immunodeficiency_virus_1__11676	995
Poly-A-_polymerase_catalytic_subunit_-3-__YP_010377046__Monkeypox_virus__10244	479
Poly-A-_polymerase_small_subunit__YP_010085551__Akhmeta_virus__2200830	323
Poly_polymerase_catalytic_subunit_-VP55-__YP_009408437__NY_014_poxvirus__2025360	472
Poly_polymerase_small_subunit_-VP39-__YP_009408475__NY_014_poxvirus__2025360	333
Polymerase_processivity_factor__NP_050208__Human_betaherpesvirus_6B__32604	366
Pr_gag-pro__NP_057861__Human_T-cell_leukemia_virus_type_I__11908	651
PreM_protein__NP_775501__Tick-borne_encephalitis_virus__11084	168
PreM_protein__NP_775514__Powassan_virus__11083	168
Pro__NP_786949__Norovirus_GI__122928	181
Pro__YP_009238497__Norovirus_GIV__262897	181
Pro__YP_009518848__Norovirus_GII__122929	181
Pro__YP_009538338__Norovirus_GII.17__552592	181
Pro__YP_009538340_Pro__Norovirus_GI_Hu_JP_2007_GI.P3_GI.3_Shimizu_KK2866__1529909	181
Pro__YP_009679034_Pro__Norovirus_GII_Hu_JP_2007_GII.P15_GII.15_Sapporo_HK299__1529918	181
Pro__YP_009684404__Norovirus_GII__122929	181
Pro__YP_009701443__Norovirus_GI__122928	181
Pro__YP_009701452__Norovirus_GII__122929	181
Pro__YP_009701458__Norovirus_GIV__262897	181
Pro__YP_009701464__Norovirus_GI__122928	181
Pro__YP_009725315_Pro__Norovirus_GIV__262897	181
Profilin_domain_protein__YP_010377149__Monkeypox_virus__10244	133
Protein_F11__YP_010377038__Monkeypox_virus__10244	354
Protein_F14_-1-__YP_010377041__Monkeypox_virus__10244	73
Protein_F15__YP_010377043__Monkeypox_virus__10244	158
Protein_F16_-1-__YP_010377044__Monkeypox_virus__10244	231
Putative_monoglyceride_lipase__YP_010377026__Monkeypox_virus__10244	276
Putative_terminase__NP_050241__Human_betaherpesvirus_6B__32604	666
RAP94__YP_009408482__NY_014_poxvirus__2025360	795
RAP94__YP_232984__Vaccinia_virus__10245	795
RNA-dependent_RNA_polymerase,_partial__AVT44120__Severe_fever_with_thrombocytopenia_syndrome_virus__1003835	388
RNA-dependent_RNA_polymerase_3D__NP_740737__Parechovirus_A__1803956	469
RNA-dependent_RNA_polymerase_NS5B__NP_751928__Hepatitis_C_virus_genotype_1__41856	591
RNA-dependent_RNA_polymerase_NS5__NP_722465__dengue_virus_type_I__11053	899
RNA-dependent_RNA_polymerase_NS5__NP_775674__Japanese_encephalitis_virus__11072	905
RNA-dependent_RNA_polymerase_NS5__NP_776022__West_Nile_virus__11082	905
RNA-dependent_RNA_polymerase_NS5__YP_004734464_RNA-dependent_RNA_polymerase_NS5__Tembusu_virus__64293	905
RNA-dependent_RNA_polymerase_NS5__YP_009227205__Zika_virus__64320	903
RNA-dependent_RNA_polymerase_NS5__YP_009329957__Saint_Louis_encephalitis_virus__11080	906
RNA-dependent_RNA_polymerase_NS5__YP_009333115__Cacipacore_virus__64305	905
RNA-dependent_RNA_polymerase_NS5__YP_009430308__Zika_virus__64320	903
RNA-dependent_RNA_polymerase__NP_740729__Louping_ill_virus__11086	903
RNA-dependent_RNA_polymerase__NP_775511__Tick-borne_encephalitis_virus__11084	903
RNA-dependent_RNA_polymerase__NP_775524__Powassan_virus__11083	903
RNA-dependent_RNA_polymerase__NP_776009__Yellow_fever_virus__11089	905
RNA-dependent_RNA_polymerase__NP_828849_RNA-dependent_RNA_polymerase__SARS_coronavirus_Tor2__227984	932
RNA-dependent_RNA_polymerase__NP_835352__Human_coronavirus_229E__11137	927
RNA-dependent_RNA_polymerase__YP_009047223__Middle_East_respiratory_syndrome-related_coronavirus__1335626	933
RNA-dependent_RNA_polymerase__YP_009555260__Human_coronavirus_OC43__31631	928
RNA-dependent_RNA_polymerase__YP_009725307__Severe_acute_respiratory_syndrome_coronavirus_2__2697049	932
RNA-dependent_RNA_polymerase__YP_009944302__Betacoronavirus_England_1__1263720	933
RNA-dependent_RNA_polymerase_catalytic_subunit__NP_818936__Western_equine_encephalitis_virus__11039	608
RNA-directed_RNA_polymerase__NP_740401__Rhinovirus_A__147711	460
RNA-directed_RNA_polymerase__NP_740478__Enterovirus_C__138950	461
RNA-directed_RNA_polymerase_nsP4__NP_740699__Venezuelan_equine_encephalitis_virus__11036	606
RNA-directed_RNA_polymerase_triphosphatase_helicase_p90__YP_004617078__Rubella_virus__11041	815
RNA-helicase_DExH-NPH-II__YP_232959__Vaccinia_virus__10245	676
RNA-helicase_DExH-NPH-II_domain__YP_009408457__NY_014_poxvirus__2025360	672
RNA_Pol_RPO35_protein__YP_010085608__Akhmeta_virus__2200830	305
RNA_dependent_RNA_polymerase__YP_008126843__Human_rotavirus_B__10942	1160
RNA_helicase_NPH-II_-2-__YP_010377066__Monkeypox_virus__10244	676
RNA_helicase_NPH-II__NP_042106__Variola_virus__10255	676
RNA_helicase_NPH-II__NP_938304__Yaba_monkey_tumor_virus__38804	678
RNA_helicase__YP_010085532__Akhmeta_virus__2200830	677
RNA_polymerase-associated_protein__YP_010085558__Akhmeta_virus__2200830	795
RNA_polymerase-associated_transcription-specificity_factor_RAP94__YP_010377091__Monkeypox_virus__10244	795
RNA_polymerase__NP_042112__Variola_virus__10255	63
RNA_polymerase__NP_938310__Yaba_monkey_tumor_virus__38804	63
RNA_polymerase__YP_009408440__NY_014_poxvirus__2025360	261
RNA_polymerase__YP_009408463__NY_014_poxvirus__2025360	63
RNA_polymerase__YP_009408476__NY_014_poxvirus__2025360	185
RNA_polymerase__YP_009408492__NY_014_poxvirus__2025360	161
RNA_polymerase__YP_009408504__NY_014_poxvirus__2025360	164
RNA_polymerase__YP_009408524__NY_014_poxvirus__2025360	1166
RNA_polymerase__YP_009408529__NY_014_poxvirus__2025360	303
RNA_polymerase_subunit_RPO18__YP_010085569__Akhmeta_virus__2200830	161
RNA_polymerase_subunit_RPO18__YP_010377101__Monkeypox_virus__10244	161
RNA_polymerase_subunit__NP_042089__Variola_virus__10255	259
RNA_polymerase_subunit__NP_938291__Yaba_monkey_tumor_virus__38804	188
RNA_polymerase_subunit__YP_010085514__Akhmeta_virus__2200830	259
RNA_polymerase_subunit__YP_010085538__Akhmeta_virus__2200830	63
RNA_polymerase_subunit__YP_010085552__Akhmeta_virus__2200830	185
RNA_polymerase_subunit__YP_010085554__Akhmeta_virus__2200830	1286
RNA_polymerase_subunit__YP_010085582__Akhmeta_virus__2200830	164
RR1__NP_042921__Human_betaherpesvirus_6A__32603	804
RdRp__NP_786950__Norovirus_GI__122928	508
RdRp__YP_009238498__Norovirus_GIV__262897	510
RdRp__YP_009518849__Norovirus_GII__122929	510
RdRp__YP_009538339__Norovirus_GII.17__552592	510
RdRp__YP_009538340_RdRp__Norovirus_GI_Hu_JP_2007_GI.P3_GI.3_Shimizu_KK2866__1529909	510
RdRp__YP_009679034_RdRp__Norovirus_GII_Hu_JP_2007_GII.P15_GII.15_Sapporo_HK299__1529918	510
RdRp__YP_009684405__Norovirus_GII__122929	510
RdRp__YP_009700093_RdRp__Norovirus_GI__122928	508
RdRp__YP_009701444__Norovirus_GI__122928	510
RdRp__YP_009701453__Norovirus_GII__122929	510
RdRp__YP_009701459__Norovirus_GIV__262897	510
RdRp__YP_009701465__Norovirus_GI__122928	508
RdRp__YP_009725315_RdRp__Norovirus_GIV__262897	510
RepA__YP_009130658__Human_genital-associated_circular_DNA_virus-1__1488574	195
Rep_40_protein__YP_680424__adeno-associated_virus_2__10804	312
Rep_52_protein__YP_680425__adeno-associated_virus_2__10804	397
Rep_68_protein__YP_680422__adeno-associated_virus_2__10804	536
Rep_78_protein__YP_680423__adeno-associated_virus_2__10804	621
Rep__NP_042987__Human_betaherpesvirus_6A__32603	490
Rep__YP_009116879__Human_smacovirus_1__1595998	248
Rev__NP_057854__Human_immunodeficiency_virus_1__11676	116
RhoA_signalling_inhibitor_virus_release_protein__YP_009408429__NY_014_poxvirus__2025360	349
Ribonucleoside-diphosphate_reductase_-2-__YP_010377062__Monkeypox_virus__10244	771
Ribonucleoside-diphosphate_reductase_small_chain__NP_042072__Variola_virus__10255	319
Ribonucleotide_reductase_small_subunit__YP_010377031__Monkeypox_virus__10244	319
Rifampicin_resistance_protein__YP_010377107__Monkeypox_virus__10244	551
Rpo132_or_CPXV157_protein__NP_619941__Cowpox_virus__10243	1164
S-S_bond_formation_pathway__YP_233003__Vaccinia_virus__10245	76
S-S_bond_formation_pathway_protein__NP_042077__Variola_virus__10255	212
S-S_bond_formation_pathway_protein__NP_938280__Yaba_monkey_tumor_virus__38804	214
S-S_bond_formation_pathway_protein__YP_009408501__NY_014_poxvirus__2025360	75
S-S_bond_formation_pathway_protein__YP_010085579__Akhmeta_virus__2200830	76
S-S_bond_formation_pathway_protein__YP_010377110__Monkeypox_virus__10244	77
S-S_bond_formation_pathway_protein__YP_232930__Vaccinia_virus__10245	212
S-S_bond_formation_pathway_protein_substrate__YP_009408427__NY_014_poxvirus__2025360	212
SPI-2_CrmA_inhibits_Fas-mediated_apoptosis,_IL-1_convertase,_lipoxygenase_pathway__YP_233077__Vaccinia_virus__10245	345
SPI3_or_CPXV042_protein__NP_619831__Cowpox_virus__10243	373
Schlafen_-1-__YP_010377160__Monkeypox_virus__10244	503
Schlafen__YP_009408559__NY_014_poxvirus__2025360	193
Ser_Thr_kinase__NP_042078__Variola_virus__10255	439
Ser_Thr_kinase__NP_938281__Yaba_monkey_tumor_virus__38804	445
Ser_Thr_kinase__YP_010085501__Akhmeta_virus__2200830	439
Ser_Thr_protein_kinase__YP_010085639__Akhmeta_virus__2200830	300
Ser_Thr_protein_kinase__YP_010085649__Akhmeta_virus__2200830	285
Ser_thr_kinase__YP_010377159__Monkeypox_virus__10244	303
Ser_thr_kinase__YP_010377168__Monkeypox_virus__10244	282
Serine_threonine-protein_kinase__YP_010377037__Monkeypox_virus__10244	439
Serpin_123__YP_009408566__NY_014_poxvirus__2025360	364
Serpin_123__YP_009408579__NY_014_poxvirus__2025360	351
Serpin__YP_010377023__Monkeypox_virus__10244	375
Serpin__YP_010377169__Monkeypox_virus__10244	344
glycoprotein__YP_009505325__Vesicular_stomatitis_Indiana_virus__11277	511
VP1__YP_002956122__Cosavirus_D__2003650	294
membrane_protein_U20__YP_073760__Human_betaherpesvirus_7__10372	391
membrane_protein_U21__YP_073761__Human_betaherpesvirus_7__10372	430
membrane_protein_U23__YP_073762__Human_betaherpesvirus_7__10372	171
U62__NP_042955__Human_betaherpesvirus_6A__32603	85
U59__NP_042952__Human_betaherpesvirus_6A__32603	350
VP2__YP_717937__Betapolyomavirus_hominis__1891762	351
VP2_protein__NP_694867__Human_erythrovirus_V9__72197	554
VP34_precursor__NP_751899__Human_astrovirus__1868658	324
VP3_-1C-__NP_740528__Enterovirus_A__138948	242
VP3__NP_694476__Banna_virus_strain_JKT-6423__649604	720
VP3__NP_740436__Aichi_virus_1__1313215	224
VP3__NP_817120__Torque_teno_virus_1__687340	290
VP3__NP_859020__Aichivirus_B__194965	223
VP3__YP_001111257__Betapolyomavirus_tertihominis__1891764	257
VP3__YP_001285486__WU_Polyomavirus__440266	272
VP3__YP_002302228__Rotavirus_A__28875	835
VP3__YP_002956079__Cosavirus_E__2003651	232
transforming_protein__YP_006393289__Human_papillomavirus_136__1070409	98
transforming_protein__YP_006393295__Human_papillomavirus_type_137__1070410	142
transforming_protein_E6__YP_003668025__Human_papillomavirus_121__915429	143
terminal_protein_precursor_pTP__NP_040917__Human_mastadenovirus_A__129875	641
VPg__YP_009725315_VPg__Norovirus_GIV__262897	133
V__YP_009246353__Bat_mastadenovirus_WIV9__1788436	409
V__YP_009246386__Bat_mastadenovirus_WIV10__1788432	409
V__YP_009246425__Bat_mastadenovirus_WIV11__1788433	409
V_protein__ACA49106__Avian_metaavulavirus_2__2560313	232
V_protein__NP_054709__Mumps_orthorubulavirus__2560602	224
V_protein__YP_003873249__Measles_morbillivirus__11234	299
V_protein__YP_009094030__Sosuga_virus__1452514	246
V_protein__YP_009512967__Menangle_virus__152219	227
V_protein__YP_009513215__Avian_metaavulavirus_2__2560313	232
V_protein__YP_010087169__Alston_virus__2495433	222
V_protein__YP_138513__Parainfluenza_virus_5__2905673	222
Vif__NP_057851__Human_immunodeficiency_virus_1__11676	192
Viral_core_cysteine_proteinase__YP_010377065__Monkeypox_virus__10244	423
Viral_membrane_associated_early_morphogenesis_protein__YP_009408508__NY_014_poxvirus__2025360	88
Viral_membrane_formation__YP_009408510__NY_014_poxvirus__2025360	316
Viral_membrane_formation_protein__YP_010377119__Monkeypox_virus__10244	318
Virion_core_and_cleavage_processing_protein__YP_009408511__NY_014_poxvirus__2025360	181
Virion_core_protein_D3__YP_010377097__Monkeypox_virus__10244	233
Virion_core_protein_E11__YP_010377056__Monkeypox_virus__10244	129
Virion_core_protein_P4a__YP_010377118__Monkeypox_virus__10244	891
Virion_core_protein_P4b__YP_010377111__Monkeypox_virus__10244	644
Virion_morph__YP_009408473__NY_014_poxvirus__2025360	152
Virion_morphogenesis_core_protein__YP_009408505__NY_014_poxvirus__2025360	372
Virion_morphogenesis_protein__YP_010377114__Monkeypox_virus__10244	372
Virion_phosphoprotein_early_morphogenesis__YP_009408465__NY_014_poxvirus__2025360	381
Virion_protein_D2__YP_010377096__Monkeypox_virus__10244	146
Virion_protein__YP_009408442__NY_014_poxvirus__2025360	566
Virosome_component__YP_009408441__NY_014_poxvirus__2025360	371
Virulence_protein__YP_010377164__Monkeypox_virus__10244	182
Virulence_protein__YP_010377175__Monkeypox_virus__10244	190
Virus_entry_fusion_complex_component__YP_009408449__NY_014_poxvirus__2025360	33
Vp10__NP_694459__Banna_virus_strain_JKT-6423__649604	249
Vp11__NP_694458__Banna_virus_strain_JKT-6423__649604	180
Vp7__NP_694462__Banna_virus_strain_JKT-6423__649604	306
Vp8__NP_694461__Banna_virus_strain_JKT-6423__649604	302
