RefSeq_ID	GenBank_ID	Match_Type
NP_722461	No Match Found	No Match
YP_009430301	No Match Found	No Match
YP_009227199	No Match Found	No Match
YP_009333116	No Match Found	No Match
NP_740296	No Match Found	No Match
YP_009333108	No Match Found	No Match
NP_775667	No Match Found	No Match
NP_775517	No Match Found	No Match
YP_006355436	No Match Found	No Match
NP_722532	No Match Found	No Match
NP_776002	No Match Found	No Match
NP_775504	No Match Found	No Match
YP_009164952	No Match Found	No Match
YP_006485887	No Match Found	No Match
YP_004734464_nonstructural_protein_NS1	No Match Found	No Match
YP_009329950	No Match Found	No Match
NP_740723	No Match Found	No Match
NP_776015	No Match Found	No Match
YP_001129360	ABD28858.1	Product
YP_001129365	ABD28863.1	Product
YP_010085489	No Match Found	No Match
NP_619834	AAM13492.1	GenBank Name Curated (Extracted Product)
NP_073398	CAC21251.1	GenBank Name Curated (Extracted Product)
YP_010377026	No Match Found	No Match
NP_938271	No Match Found	No Match
YP_009408416	No Match Found	No Match
YP_009505324	AAN16982.1	GenBank Name Curated (Extracted Product)
YP_007641384	CAH17546.1	GenBank Name Curated (Extracted Product)
NP_041714	No Match Found	No Match
YP_009047083	AFO67834.2	GenBank Name Curated (Extracted Product)
YP_009505534	AMR98949.1	Product
YP_007641379	ADO63657.1	GenBank Name Curated (Extracted Product)
YP_009505515	AJN08921.1	GenBank Name Curated (Extracted Product)
YP_009094368	AHY85664.1	GenBank Name Curated (Extracted Product)
YP_009505514	AJN08920.1	GenBank Name Curated (Extracted Product)
YP_009361870	AJR28456.1	Product
YP_010085615	No Match Found	No Match
YP_233040	No Match Found	No Match
NP_957888	AAR98336.1	GenBank Name Curated (Extracted Product)
YP_010377144	No Match Found	No Match
NP_619954	AAM13612.1	GenBank Name Curated (Extracted Product)
NP_044096	No Match Found	No Match
NP_073509	CAC21362.1	GenBank Name Curated (Extracted Product)
NP_938380	No Match Found	No Match
YP_009408536	No Match Found	No Match
YP_010377151	No Match Found	No Match
YP_233051	No Match Found	No Match
NP_619963	AAM13621.1	GenBank Name Curated (Extracted Product)
YP_010085625	No Match Found	No Match
YP_009408542	No Match Found	No Match
NP_042057	No Match Found	No Match
NP_042236	No Match Found	No Match
NP_042071	No Match Found	No Match
YP_233074	No Match Found	No Match
NP_042210	No Match Found	No Match
YP_233086	No Match Found	No Match
NP_040180	No Match Found	No Match
YP_009137077	AEQ77033.1	GenBank Name Curated (Extracted Product)
YP_009137154	AEV91341.2	GenBank Name Curated (Extracted Product)
NP_851862	No Match Found	No Match
YP_443849	No Match Found	No Match
YP_001129373	ABD28871.1	Product
YP_401702	No Match Found	No Match
YP_001129498	No Match Found	No Match
YP_004936042	AEV80430.1	GenBank Name Curated (Extracted Product)
YP_081524	AAR31628.1	GenBank Name Curated (Extracted Product)
YP_002608268	No Match Found	No Match
YP_009137098	AEQ77054.1	GenBank Name Curated (Extracted Product)
YP_009137175	AEV91362.1	GenBank Name Curated (Extracted Product)
NP_851883	No Match Found	No Match
YP_443870	No Match Found	No Match
YP_073789	No Match Found	No Match
NP_042942	CAA58383.1	Product
NP_050230	No Match Found	No Match
NP_040158	No Match Found	No Match
YP_004936026	AEV80415.1	GenBank Name Curated (Extracted Product)
YP_002608255	No Match Found	No Match
YP_081509	AAR31616.1	GenBank Name Curated (Extracted Product)
NP_851894	No Match Found	No Match
YP_009137109	AEQ77065.1	GenBank Name Curated (Extracted Product)
YP_443881	No Match Found	No Match
YP_009137186	AEV91373.1	GenBank Name Curated (Extracted Product)
YP_001129424	ABD28920.1	Product
NP_042927	CAA58414.1	Product
YP_073774	No Match Found	No Match
NP_050215	No Match Found	No Match
NP_040147	No Match Found	No Match
YP_001129446	No Match Found	No Match
YP_401649	No Match Found	No Match
NP_851885	AAP41443.1	GenBank Name Curated (Extracted Product)
YP_002608272	No Match Found	No Match
YP_009137100	AEQ77056.1	GenBank Name Curated (Extracted Product)
NP_040156	No Match Found	No Match
NP_042946	No Match Found	No Match
YP_081528	AAR31632.1	GenBank Name Curated (Extracted Product)
YP_443872	No Match Found	No Match
YP_004936046	AEV80434.1	GenBank Name Curated (Extracted Product)
NP_050234	No Match Found	No Match
YP_073793	No Match Found	No Match
YP_009137177	AEV91364.1	GenBank Name Curated (Extracted Product)
YP_401704	No Match Found	No Match
YP_001129369	ABD28867.1	Product
YP_001129501	No Match Found	No Match
YP_232890	AAO89490.1	GenBank Name Curated (Extracted Product)
YP_232890	AAO89287.1	GenBank Name Curated (Extracted Product)
YP_233093	AAO89490.1	GenBank Name Curated (Extracted Product)
YP_233093	AAO89287.1	GenBank Name Curated (Extracted Product)
NP_050193	No Match Found	No Match
YP_009507724	AFX73389.1	Product
YP_009507713	AFX73377.1	Product
NP_042947	CAA58388.1	Product
NP_050235	No Match Found	No Match
YP_073795	No Match Found	No Match
NP_050226	No Match Found	No Match
YP_073785	No Match Found	No Match
NP_042938	CAA58379.1	Product
YP_002608275	No Match Found	No Match
YP_004936050	AEV80438.1	GenBank Name Curated (Extracted Product)
YP_081531	AAR31635.1	GenBank Name Curated (Extracted Product)
YP_401708	No Match Found	No Match
YP_001129504	No Match Found	No Match
YP_001129357	ABD28855.1	Product
YP_002608274	No Match Found	No Match
YP_004936048	AEV80436.1	GenBank Name Curated (Extracted Product)
YP_081530	AAR31634.1	GenBank Name Curated (Extracted Product)
NP_783780	No Match Found	No Match
NP_050191	No Match Found	No Match
YP_073751	No Match Found	No Match
NP_042901	CAA58437.2	Product
YP_081490	AAR31596.1	GenBank Name Curated (Extracted Product)
YP_004936007	AEV80396.1	GenBank Name Curated (Extracted Product)
NP_050236	No Match Found	No Match
NP_042948	CAA58389.1	Product
YP_073796	No Match Found	No Match
YP_073797	No Match Found	No Match
YP_081520	AAR31625.1	GenBank Name Curated (Extracted Product)
YP_004936037	AEV80425.1	GenBank Name Curated (Extracted Product)
YP_002608264	No Match Found	No Match
YP_401709	No Match Found	No Match
YP_001129505	No Match Found	No Match
YP_081532	AAR31636.1	GenBank Name Curated (Extracted Product)
YP_002608276	No Match Found	No Match
YP_004936051	AEV80439.1	GenBank Name Curated (Extracted Product)
YP_401664	No Match Found	No Match
YP_001129459	No Match Found	No Match
YP_001129407	ABD28905.1	Product
YP_001129356	ABD28854.1	Product
YP_009137126	AEQ77082.1	GenBank Name Curated (Extracted Product)
NP_851911	No Match Found	No Match
NP_040131	CAA27891.1	GenBank Name Curated (Extracted Product)
YP_009137203	AEV91390.1	GenBank Name Curated (Extracted Product)
YP_443898	No Match Found	No Match
NP_043997	No Match Found	No Match
NP_619869	AAM13527.1	GenBank Name Curated (Extracted Product)
NP_938300	No Match Found	No Match
YP_009408452	No Match Found	No Match
YP_010377061	No Match Found	No Match
YP_232954	AAO89351.1	GenBank Name Curated (Extracted Product)
NP_957809	AAR98257.1	GenBank Name Curated (Extracted Product)
NP_073430	CAC21283.1	GenBank Name Curated (Extracted Product)
YP_010085527	AXN74864.1	GenBank Name Curated (Extracted Product)
NP_042101	No Match Found	No Match
YP_004936133	AEV80521.1	GenBank Name Curated (Extracted Product)
YP_081608	AAR31712.1	GenBank Name Curated (Extracted Product)
YP_002608323	No Match Found	No Match
NP_783777	No Match Found	No Match
YP_004936000	AEV80389.1	GenBank Name Curated (Extracted Product)
YP_081482	AAR31588.1	GenBank Name Curated (Extracted Product)
YP_004936012	AEV80401.1	GenBank Name Curated (Extracted Product)
YP_081495	AAR31601.1	GenBank Name Curated (Extracted Product)
YP_002608246	No Match Found	No Match
NP_050184	No Match Found	No Match
NP_042893	CAA58429.1	Product
YP_073746	No Match Found	No Match
YP_073828	No Match Found	No Match
YP_073744	No Match Found	No Match
YP_009458636	SPC53507.1	Product
YP_009458636	SPC53472.1	Product
YP_073829	No Match Found	No Match
YP_073745	No Match Found	No Match
NP_050180	No Match Found	No Match
YP_009458642	SPC53507.1	Product
YP_009458642	SPC53472.1	Product
NP_050277	No Match Found	No Match
YP_081587	AAR31691.1	GenBank Name Curated (Extracted Product)
YP_002608306	No Match Found	No Match
YP_004936147	AEV80535.1	GenBank Name Curated (Extracted Product)
YP_081619	AAR31723.1	GenBank Name Curated (Extracted Product)
YP_002608330	No Match Found	No Match
YP_004936135	AEV80523.1	GenBank Name Curated (Extracted Product)
YP_002608324	No Match Found	No Match
YP_081610	AAR31714.1	GenBank Name Curated (Extracted Product)
NP_042894	CAA58430.1	Product
NP_042918	CAA58405.1	Product
NP_042910	CAA58397.2	Product
NP_050206	No Match Found	No Match
YP_073747	No Match Found	No Match
YP_073757	No Match Found	No Match
NP_050185	No Match Found	No Match
YP_081483	AAR31589.2	GenBank Name Curated (Extracted Product)
NP_783778	No Match Found	No Match
NP_050197	No Match Found	No Match
YP_073765	No Match Found	No Match
YP_004936001	AEV80390.1	GenBank Name Curated (Extracted Product)
YP_081501	AAR31607.1	GenBank Name Curated (Extracted Product)
YP_004936018	AEV80407.1	GenBank Name Curated (Extracted Product)
NP_783785	No Match Found	No Match
YP_081607	AAR31711.1	GenBank Name Curated (Extracted Product)
YP_004936132	AEV80520.1	GenBank Name Curated (Extracted Product)
NP_783806	No Match Found	No Match
YP_081609	AAR31713.1	GenBank Name Curated (Extracted Product)
NP_783807	No Match Found	No Match
YP_004936134	AEV80522.1	GenBank Name Curated (Extracted Product)
YP_308872	No Match Found	No Match
YP_009118481	No Match Found	No Match
YP_308668	No Match Found	No Match
NP_040981	No Match Found	No Match
YP_009118627	No Match Found	No Match
YP_308842	No Match Found	No Match
NP_056663	No Match Found	No Match
NP_859038	No Match Found	No Match
NP_604441	No Match Found	No Match
NP_056923	No Match Found	No Match
YP_009512970	AFY09793.1	GenBank Name Curated (Extracted Product)
NP_054713	No Match Found	No Match
YP_010087174	AZK31329.1	GenBank Name Curated (Extracted Product)
ACA49109	No Match Found	No Match
YP_009094033	AHH02040.1	Product
YP_009512955	No Match Found	No Match
YP_138517	AAC95517.1	GenBank Name Curated (Extracted Product)
YP_009094059	No Match Found	No Match
YP_009513218	No Match Found	No Match
YP_081486	AAR31592.1	GenBank Name Curated (Extracted Product)
YP_004936004	AEV80393.1	GenBank Name Curated (Extracted Product)
YP_002608241	No Match Found	No Match
NP_050186	No Match Found	No Match
NP_042895	CAA58431.1	Product
YP_073748	No Match Found	No Match
NP_783792	No Match Found	No Match
YP_081552	AAR31656.1	Product
YP_004936071	AEV80459.1	Product
NP_957904	AAR98352.1	GenBank Name Curated (Extracted Product)
YP_001129439	No Match Found	No Match
YP_401634	No Match Found	No Match
YP_401651	No Match Found	No Match
YP_001129448	No Match Found	No Match
YP_001129422	ABD28922.1	Product
NP_619819	AAM13477.1	GenBank Name Curated (Extracted Product)
YP_010085474	No Match Found	No Match
NP_042053	No Match Found	No Match
YP_232904	No Match Found	No Match
YP_009408552	No Match Found	No Match
NP_619972	AAM13630.1	GenBank Name Curated (Extracted Product)
YP_233060	No Match Found	No Match
YP_010085634	No Match Found	No Match
YP_010377013	No Match Found	No Match
YP_010377177	No Match Found	No Match
NP_042045	No Match Found	No Match
YP_009408580	No Match Found	No Match
YP_009408391	No Match Found	No Match
NP_042226	No Match Found	No Match
YP_233078	No Match Found	No Match
NP_620002	AAM13660.1	GenBank Name Curated (Extracted Product)
NP_619989	AAM13647.1	GenBank Name Curated (Extracted Product)
NP_073391	CAC21244.1	GenBank Name Curated (Extracted Product)
YP_010085454	AXN74791.1	GenBank Name Curated (Extracted Product)
NP_619797	No Match Found	No Match
YP_010085663	No Match Found	No Match
YP_010085651	No Match Found	No Match
YP_009408567	No Match Found	No Match
NP_938267	No Match Found	No Match
YP_010377170	No Match Found	No Match
NP_938389	No Match Found	No Match
NP_042068	No Match Found	No Match
NP_073524	CAC21377.1	GenBank Name Curated (Extracted Product)
YP_010085490	No Match Found	No Match
NP_619835	AAM13493.1	GenBank Name Curated (Extracted Product)
NP_073522	CAC21375.1	GenBank Name Curated (Extracted Product)
YP_232921	No Match Found	No Match
NP_938391	No Match Found	No Match
YP_010377027	No Match Found	No Match
YP_009507312	AKG54925.1	GenBank Name Curated (Extracted Product)
YP_006908973	AFV27091.1	Product
YP_009553033	No Match Found	No Match
YP_004169285	ADQ85965.1	Product
YP_009508230	CDI44918.1	GenBank Name Curated (Extracted Product)
YP_003668026	ADH29806.1	GenBank Name Curated (Extracted Product)
YP_009507305	AGC93429.1	Product
YP_009553530	No Match Found	No Match
YP_006393310	No Match Found	No Match
YP_009507292	No Match Found	No Match
YP_006393296	No Match Found	No Match
YP_004169264	No Match Found	No Match
YP_004169278	No Match Found	No Match
YP_009552549	No Match Found	No Match
YP_003858574	ADE45483.1	Product
YP_008828146	AHA37349.1	Product
YP_009022058	AHN16191.1	GenBank Name Curated (Extracted Product)
YP_009508893	ANG08958.1	Product
YP_009163892	ADR77926.1	Product
YP_009163892	ANG08958.1	Product
NP_040307	No Match Found	No Match
YP_008433327	CDG41969.1	GenBank Name Curated (Extracted Product)
NP_041326	No Match Found	No Match
NP_077117	No Match Found	No Match
YP_009362307	No Match Found	No Match
YP_009158853	AKP16341.1	Product
YP_006393282	AEM24594.1	GenBank Name Curated (Extracted Product)
YP_006393289	AEM24601.1	GenBank Name Curated (Extracted Product)
YP_009345873	No Match Found	No Match
YP_004169271	No Match Found	No Match
YP_004169292	ADQ85979.1	Product
YP_009553517	No Match Found	No Match
YP_009507298	AHC00345.1	Product
YP_009553510	No Match Found	No Match
YP_006393303	AEM24629.1	GenBank Name Curated (Extracted Product)
YP_003084347	ACT76413.1	GenBank Name Curated (Extracted Product)
YP_009175015	AFV27111.1	Product
YP_009553523	No Match Found	No Match
YP_008083732	AFL02847.1	Product
YP_009134744	No Match Found	No Match
YP_009551931	No Match Found	No Match
YP_004934013	BAL14428.1	GenBank Name Curated (Extracted Product)
YP_009552556	No Match Found	No Match
YP_009553020	No Match Found	No Match
YP_009725297	No Match Found	No Match
YP_009742608	No Match Found	No Match
NP_828860	No Match Found	No Match
YP_009944366	No Match Found	No Match
YP_009944292	No Match Found	No Match
YP_009047213	No Match Found	No Match
YP_009944281	No Match Found	No Match
YP_009047229	No Match Found	No Match
YP_460018	No Match Found	No Match
YP_009944269	No Match Found	No Match
NP_742129	No Match Found	No Match
YP_009924319	No Match Found	No Match
YP_009555246	No Match Found	No Match
YP_233079	AAO89476.1	Product
YP_010085652	AXN74989.1	GenBank Name Curated (Extracted Product)
NP_619990	AAM13648.1	GenBank Name Curated (Extracted Product)
YP_233082	No Match Found	No Match
NP_073521	CAC21374.1	GenBank Name Curated (Extracted Product)
YP_010085655	No Match Found	No Match
NP_042232	No Match Found	No Match
YP_009408569	No Match Found	No Match
NP_619993	AAM13651.1	GenBank Name Curated (Extracted Product)
YP_010377172	No Match Found	No Match
YP_009408529	No Match Found	No Match
YP_010377137	No Match Found	No Match
NP_619948	AAM13606.1	GenBank Name Curated (Extracted Product)
YP_010085608	AXN74945.1	GenBank Name Curated (Extracted Product)
NP_957883	AAR98331.1	GenBank Name Curated (Extracted Product)
NP_938374	AAR07475.1	Product
NP_044086	No Match Found	No Match
NP_073504	CAC21357.1	GenBank Name Curated (Extracted Product)
YP_233034	AAO89431.1	GenBank Name Curated (Extracted Product)
NP_042180	No Match Found	No Match
YP_009246429	No Match Found	No Match
YP_009246390	No Match Found	No Match
NP_040526	No Match Found	No Match
NP_040863	No Match Found	No Match
NP_040925	No Match Found	No Match
YP_002213813	No Match Found	No Match
YP_005271192	ADD17112.1	GenBank Name Curated (Extracted Product)
YP_002213780	No Match Found	No Match
YP_009246357	No Match Found	No Match
YP_001974454	No Match Found	No Match
YP_001129400	ABD28898.1	Product
YP_009137081	AEQ77037.1	GenBank Name Curated (Extracted Product)
YP_443853	No Match Found	No Match
NP_040175	No Match Found	No Match
NP_851866	No Match Found	No Match
YP_009137158	AEV91345.1	GenBank Name Curated (Extracted Product)
YP_081549	AAR31653.1	GenBank Name Curated (Extracted Product)
NP_042968	CAA58367.1	Product
NP_050254	No Match Found	No Match
YP_004936068	AEV80456.1	GenBank Name Curated (Extracted Product)
YP_073815	No Match Found	No Match
YP_002608291	No Match Found	No Match
YP_001129394	ABD28892.1	Product
YP_401683	No Match Found	No Match
YP_001129477	No Match Found	No Match
NP_851899	No Match Found	No Match
YP_443886	No Match Found	No Match
NP_040142	No Match Found	No Match
YP_009137114	AEQ77070.1	GenBank Name Curated (Extracted Product)
YP_009137191	AEV91378.1	GenBank Name Curated (Extracted Product)
NP_042921	CAA58408.1	Product
NP_050209	No Match Found	No Match
YP_081503	AAR31609.1	GenBank Name Curated (Extracted Product)
YP_002608251	No Match Found	No Match
YP_073768	No Match Found	No Match
YP_010085528	AXN74865.1	GenBank Name Curated (Extracted Product)
NP_619870	AAM13528.1	GenBank Name Curated (Extracted Product)
YP_001129452	No Match Found	No Match
YP_232955	AAO89352.1	GenBank Name Curated (Extracted Product)
YP_401655	No Match Found	No Match
YP_001129418	ABD28916.1	Product
YP_010377062	No Match Found	No Match
YP_009408453	No Match Found	No Match
NP_042102	No Match Found	No Match
NP_740558	No Match Found	No Match
YP_002956128	No Match Found	No Match
NP_740421	No Match Found	No Match
YP_002956086	No Match Found	No Match
YP_002956106	No Match Found	No Match
NP_740476	No Match Found	No Match
NP_740410	No Match Found	No Match
NP_740400	No Match Found	No Match
YP_009268639	No Match Found	No Match
YP_002956117	No Match Found	No Match
NP_740535	No Match Found	No Match
NP_828863	No Match Found	No Match
NP_835346	No Match Found	No Match
YP_009944273	No Match Found	No Match
YP_009924323	No Match Found	No Match
YP_009725301	No Match Found	No Match
NP_742132	No Match Found	No Match
YP_009555250	No Match Found	No Match
YP_009944370	No Match Found	No Match
YP_009944296	No Match Found	No Match
YP_009047217	No Match Found	No Match
YP_009047233	No Match Found	No Match
YP_009944285	No Match Found	No Match
NP_828863	No Match Found	No Match
YP_009742612	No Match Found	No Match
YP_459936	No Match Found	No Match
YP_009518848	No Match Found	No Match
YP_009538340_Pro	No Match Found	No Match
YP_009701464	No Match Found	No Match
YP_009684404	No Match Found	No Match
YP_009701443	No Match Found	No Match
YP_009679034_Pro	No Match Found	No Match
YP_009538338	No Match Found	No Match
YP_009238497	No Match Found	No Match
NP_786949	No Match Found	No Match
YP_009701452	No Match Found	No Match
YP_009701458	No Match Found	No Match
YP_009725315_Pro	No Match Found	No Match
YP_003038643	No Match Found	No Match
NP_859027	No Match Found	No Match
NP_740443	No Match Found	No Match
NP_740477	No Match Found	No Match
YP_009268634	No Match Found	No Match
NP_740530	No Match Found	No Match
NP_740395	No Match Found	No Match
NP_740416	No Match Found	No Match
NP_751903	No Match Found	No Match
NP_740736	No Match Found	No Match
NP_851873	No Match Found	No Match
YP_009137088	AEQ77044.1	GenBank Name Curated (Extracted Product)
YP_443860	No Match Found	No Match
YP_009137165	AEV91352.1	GenBank Name Curated (Extracted Product)
NP_040168	No Match Found	No Match
YP_001129388	ABD28886.1	Product
YP_401724	No Match Found	No Match
YP_001129483	No Match Found	No Match
YP_001491550	No Match Found	No Match
YP_009227304	No Match Found	No Match
YP_009272681	No Match Found	No Match
YP_009272648	No Match Found	No Match
YP_009272636	No Match Found	No Match
NP_751920	No Match Found	No Match
YP_009111420	No Match Found	No Match
YP_001285487	ABQ09289.1	Product
YP_009352870	AQX36240.1	Product
YP_717939	No Match Found	No Match
YP_003848918	ADE45434.1	Product
YP_009030020	No Match Found	No Match
YP_006495788	AFN02454.1	GenBank Name Curated (Extracted Product)
YP_003848923	ADE45464.1	Product
YP_007354884	AGC03169.1	Product
YP_003800006	ADK12664.1	GenBank Name Curated (Extracted Product)
NP_043511	No Match Found	No Match
YP_004243705	ADV15630.1	Product
YP_001111258	No Match Found	No Match
NP_040182	No Match Found	No Match
YP_401653	No Match Found	No Match
YP_001129450	No Match Found	No Match
YP_073770	No Match Found	No Match
YP_081505	AAR31611.1	GenBank Name Curated (Extracted Product)
NP_783786	No Match Found	No Match
NP_042923	CAA58410.1	Product
YP_004936022	AEV80411.1	GenBank Name Curated (Extracted Product)
YP_001129420	ABD28918.1	Product
NP_040144	No Match Found	No Match
YP_009137189	AEV91376.1	GenBank Name Curated (Extracted Product)
YP_009137112	AEQ77068.1	GenBank Name Curated (Extracted Product)
YP_009362310	No Match Found	No Match
NP_957793	AAR98241.1	GenBank Name Curated (Extracted Product)
YP_232937	No Match Found	No Match
NP_619852	AAM13510.1	Product
NP_938286	No Match Found	No Match
YP_009408435	No Match Found	No Match
NP_043980	No Match Found	No Match
NP_073415	CAC21268.1	GenBank Name Curated (Extracted Product)
YP_010377044	No Match Found	No Match
NP_042084	No Match Found	No Match
YP_010085509	No Match Found	No Match
YP_009094365	AHY85659.1	Product
YP_009505322	AAN16980.1	GenBank Name Curated (Extracted Product)
YP_009361868	AJR28454.1	Product
NP_041712	No Match Found	No Match
YP_007641382	CAH17544.1	GenBank Name Curated (Extracted Product)
YP_009047081	AFO67832.2	GenBank Name Curated (Extracted Product)
YP_009505532	AMR98947.1	Product
YP_009505512	AJN08918.1	GenBank Name Curated (Extracted Product)
YP_007641377	ADO63655.1	GenBank Name Curated (Extracted Product)
NP_054707	No Match Found	No Match
NP_604433	No Match Found	No Match
YP_009094055	No Match Found	No Match
YP_009513213	No Match Found	No Match
YP_009512965	AFY09789.1	GenBank Name Curated (Extracted Product)
YP_010087167	AZK31322.1	Product
YP_009094028	AHH02035.1	Product
YP_138511	AAC95511.1	GenBank Name Curated (Extracted Product)
YP_009512951	No Match Found	No Match
NP_056918	No Match Found	No Match
ACA49104	No Match Found	No Match
NP_056793	No Match Found	No Match
YP_001285393	No Match Found	No Match
YP_007641402	No Match Found	No Match
YP_142350	No Match Found	No Match
YP_001285388	No Match Found	No Match
YP_009701461	No Match Found	No Match
YP_009238494	No Match Found	No Match
NP_740555	No Match Found	No Match
YP_009701440	No Match Found	No Match
NP_786946	No Match Found	No Match
YP_009518845	No Match Found	No Match
YP_009528582	No Match Found	No Match
YP_009701449	No Match Found	No Match
YP_009538340_NTPase	No Match Found	No Match
YP_009701455	No Match Found	No Match
YP_009679037_NTPase	No Match Found	No Match
YP_009725315_NTPase	No Match Found	No Match
YP_009679034_NTPase	No Match Found	No Match
YP_009700093_NTPase	No Match Found	No Match
YP_009555236	No Match Found	No Match
NP_740397	No Match Found	No Match
YP_003038640	No Match Found	No Match
YP_002956103	No Match Found	No Match
YP_009268636	No Match Found	No Match
YP_002956083	No Match Found	No Match
YP_002956125	No Match Found	No Match
NP_859024	No Match Found	No Match
NP_740532	No Match Found	No Match
NP_740473	No Match Found	No Match
NP_740440	No Match Found	No Match
YP_002956114	No Match Found	No Match
NP_740408	No Match Found	No Match
NP_740744	No Match Found	No Match
NP_740733	No Match Found	No Match
NP_042935	CAA58376.2	Product
YP_073782	No Match Found	No Match
NP_050223	No Match Found	No Match
YP_001129456	No Match Found	No Match
YP_401659	No Match Found	No Match
NP_040127	No Match Found	No Match
YP_001129410	ABD28908.1	Product
YP_443902	No Match Found	No Match
NP_851915	No Match Found	No Match
YP_009137130	AEQ77086.1	GenBank Name Curated (Extracted Product)
YP_009137207	AEV91394.1	GenBank Name Curated (Extracted Product)
YP_401646	No Match Found	No Match
YP_001129442	No Match Found	No Match
YP_001129368	ABD28866.1	Product
YP_009408408	No Match Found	No Match
NP_619802	AAM13460.1	GenBank Name Curated (Extracted Product)
YP_010085479	AXN74816.1	GenBank Name Curated (Extracted Product)
YP_232908	AAO89305.1	GenBank Name Curated (Extracted Product)
YP_009408555	No Match Found	No Match
YP_009408419	No Match Found	No Match
NP_073404	CAC21257.1	GenBank Name Curated (Extracted Product)
NP_073525	CAC21378.1	GenBank Name Curated (Extracted Product)
NP_619838	AAM13496.1	Product
YP_010377030	No Match Found	No Match
YP_233062	AAO89459.1	GenBank Name Curated (Extracted Product)
YP_010085494	AXN74831.1	GenBank Name Curated (Extracted Product)
NP_938275	No Match Found	No Match
YP_232924	AAO89321.1	GenBank Name Curated (Extracted Product)
NP_619974	AAM13632.1	GenBank Name Curated (Extracted Product)
NP_619824	AAM13482.1	GenBank Name Curated (Extracted Product)
YP_010085636	AXN74973.1	GenBank Name Curated (Extracted Product)
NP_619995	AAM13653.1	GenBank Name Curated (Extracted Product)
YP_009408571	No Match Found	No Match
YP_010085657	AXN74994.1	GenBank Name Curated (Extracted Product)
YP_010085647	AXN74984.1	GenBank Name Curated (Extracted Product)
NP_619985	AAM13643.1	GenBank Name Curated (Extracted Product)
YP_004936038	AEV80426.1	GenBank Name Curated (Extracted Product)
YP_081521	AAR31725.1	GenBank Name Curated (Extracted Product)
YP_002608265	No Match Found	No Match
NP_938346	No Match Found	No Match
NP_044054	No Match Found	No Match
YP_009408499	No Match Found	No Match
NP_957853	AAR98301.1	GenBank Name Curated (Extracted Product)
YP_010085577	AXN74914.1	GenBank Name Curated (Extracted Product)
NP_042148	No Match Found	No Match
NP_619915	AAM13573.1	GenBank Name Curated (Extracted Product)
YP_010377108	No Match Found	No Match
YP_233001	AAO89398.1	GenBank Name Curated (Extracted Product)
NP_073476	CAC21329.1	GenBank Name Curated (Extracted Product)
YP_004936003	AEV80392.1	GenBank Name Curated (Extracted Product)
YP_081485	AAR31591.1	GenBank Name Curated (Extracted Product)
YP_002608240	No Match Found	No Match
NP_040125	No Match Found	No Match
YP_001129351	ABD28848.1	Product
YP_009173868	CAA42774.1	GenBank Name Curated (Extracted Product)
YP_009173857	No Match Found	No Match
YP_004936101	AEV80489.1	GenBank Name Curated (Extracted Product)
YP_001129429	AAD46498.1	Product
NP_044110	No Match Found	No Match
YP_009408578	No Match Found	No Match
NP_044094	No Match Found	No Match
YP_010085457	AXN74794.1	GenBank Name Curated (Extracted Product)
YP_401672	No Match Found	No Match
YP_001129466	No Match Found	No Match
NP_851590	AAP41061.1	GenBank Name Curated (Extracted Product)
YP_010085621	AXN74958.1	GenBank Name Curated (Extracted Product)
YP_233047	AAO89444.1	GenBank Name Curated (Extracted Product)
YP_009408535	No Match Found	No Match
YP_010085613	AXN74950.1	GenBank Name Curated (Extracted Product)
NP_073508	CAC21361.1	GenBank Name Curated (Extracted Product)
YP_233039	AAO89436.1	GenBank Name Curated (Extracted Product)
YP_010377143	No Match Found	No Match
NP_042185	No Match Found	No Match
NP_619953	AAM13611.1	GenBank Name Curated (Extracted Product)
NP_938379	No Match Found	No Match
NP_957887	AAR98335.1	GenBank Name Curated (Extracted Product)
NP_938272	No Match Found	No Match
NP_073399	CAC21252.1	GenBank Name Curated (Extracted Product)
NP_957781	AAR98229.1	GenBank Name Curated (Extracted Product)
NP_957910	AAR98358.1	GenBank Name Curated (Extracted Product)
NP_044002	No Match Found	No Match
NP_044004	No Match Found	No Match
YP_232895	AAO89292.1	GenBank Name Curated (Extracted Product)
NP_619813	AAM13471.1	GenBank Name Curated (Extracted Product)
YP_010377008	No Match Found	No Match
YP_010085468	AXN74805.1	GenBank Name Curated (Extracted Product)
NP_042049	No Match Found	No Match
YP_009408402	No Match Found	No Match
YP_009030023	No Match Found	No Match
YP_006495790	AFN02457.1	GenBank Name Curated (Extracted Product)
YP_004243707	ADV15634.1	GenBank Name Curated (Extracted Product)
YP_003848920	ADE45436.1	GenBank Name Curated (Extracted Product)
YP_717941	No Match Found	No Match
YP_009111422	ADE45417.1	GenBank Name Curated (Extracted Product)
YP_003848925	ADE45466.1	GenBank Name Curated (Extracted Product)
YP_007354887	AGC03172.1	GenBank Name Curated (Extracted Product)
YP_007354886	AGC03171.1	GenBank Name Curated (Extracted Product)
NP_043513	No Match Found	No Match
YP_001111260	No Match Found	No Match
YP_001285489	ABQ09293.1	GenBank Name Curated (Extracted Product)
YP_003800008	ADK12665.1	GenBank Name Curated (Extracted Product)
YP_009352872	AQX36242.1	GenBank Name Curated (Extracted Product)
YP_010085455	AXN74792.1	GenBank Name Curated (Extracted Product)
YP_009408403	No Match Found	No Match
